,Measured Depth m,Weight on Bit kkgf,Average Standpipe Pressure kPa,Average Surface Torque kN.m,Rate of Penetration m/h,Average Rotary Speed rpm,Mud Flow In L/min,Mud Density In g/cm3,Diameter mm,Average Hookload kkgf,Hole Depth (TVD) m,USROP Gamma gAPI
0,225.171,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.1627704,16.916
1,225.18,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.1731336,16.916
2,225.18900000000002,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.1828872,16.916
3,225.229,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.22159680000004,16.916
4,225.238,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.23135040000003,16.916
5,225.247,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.23988480000003,16.916
6,225.262,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.25482000000002,16.916
7,225.265,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.25969680000003,16.916
8,225.278,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.26975519999996,16.916
9,225.28099999999998,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.274632,16.916
10,225.287,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.27981359999998,16.916
11,225.296,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.28987200000003,16.916
12,225.30200000000002,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.2950536,16.916
13,225.31400000000002,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.30541680000002,16.916
14,225.32299999999998,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3151704,16.916
15,225.326,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3200472,16.916
16,225.33900000000003,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3307152,16.916
17,225.354,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.34534559999997,16.916
18,225.363,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3557088,16.916
19,225.372,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.36515759999997,16.916
20,225.378,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.3700344,16.916
21,225.387,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.38039759999998,16.916
22,225.4,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.39228480000003,16.916
23,225.403,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.39533280000003,16.916
24,225.412,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.40508640000002,16.916
25,225.418,0.56084383229413,8883.9996346111,1.4400006847433,3.3499998024,144.0,3478.8999034419,1.02999999088548,444.5,95.547406124026,225.41087760000002,16.916
